Δαρείου	OF DARIUS
Ελλήνων,	consulted
συνεβουλεύετό	(with them)
τε,	not-only,
πῶς	how
ἂν	the might
ποιοῖτο	'make
τὴν	the
μάχην,	battle, [conduct the engagement],
καὶ	but-also
αὐτὸς	he
παρήνει	exhorted
θαῤῥύνων	(them) encouraging
τοιάδε	thus.
.	O
Ὁ	Grecian
Ἕλληνες	men.
ἄνδρες,	(it is)
οὐκ	not
ἀπορῶν	(for) being-in-want
βαρβάρων	of-barbarian
ἀνθρώπων	men
ἄγω	(that) I-lead
ὑμᾶς	you
συμμάχους,	(with me as) auxiliaries,
ἀλλὰ	but
νομίζων	thinking
ὑμᾶς	you
εἶναι	to-be
ἀμείνονας	more-efficient
καὶ	and
κρείττους	better (than)
πολλῶν	many
βαρβάρων,	(or a great multitude of) barbarians,
διὰ	'I for
τοῦτο	this (reason alone)
προσέλαβον.	'take-you-with (me).
Οὖν	(See)
ὅπως	then
ἔσεσθε	that you-will-be
ἄνδρες	men
ἄξιοι	worthy
τῆς	of-the
ἐλευθερίας	liberty
ἧς	which
κέκτησθε	you-have-acquired
καὶ	and
ὑπὲρ	for
ἧς	which
ἐγὼ	I
εὐδαιμονίζω	'esteem
ὑμᾶς.	you 'fortunate.
Γάρ	For
εὖ	'you well
ἴστε,	'know,
ὅτι	that
ἂν	'I would
ἐλοίμην	'prefer
τὴν	liberty
ἐλευθερίαν	before
ἀντὶ	all
πάντων	(that)
ὧν	which
ἔχω	I-have,
καὶ	and
ἄλλων	other
πολλαπλασίων.	(and greater) numerous (things).
Δὲ	But
καὶ	also
ὅπως	in-order-that
εἰδῆτε	'you (may) know
εἰς	to
οἷον	what (kind of)
ἀγῶνα	contest
ἔρχεσθε,	you-come,
ἐγὼ	I
εἰδὼς	having-known [I knowing well]
διδάξω	will-inform
ὑμᾶς.	you.
Γὰρ	For
τὸ	the
πλῆθος	multitude
μὲν	(is) indeed
πολύ	large,
καὶ	and
ἐπίασι	they-come-on
πολλῇ	'with (a)
κραυγῇ·	'great shout;
δ᾽	but
ἂν	should
ἀνάσχησθε	you-sve-sustained
ταῦτα,	this,
καὶ	and
τὰ	(as respects) the
ἄλλα	other (thingsi
δοκῶ	I-seem
μοι	to-myself
αἰσχύνεσθαι	to-be-ashamed
γνώσεσθε	(that) you-will-know
οἷους	what
τοὺς	the
ἀνθρώτους	men
ὄντας	| being
ἐν	[born]
τῇ	in
χώρα	-(this) country
ἡμῖν.	(are of use) to-us (as soldiers).
Δὲ	But
ὑμῶν	you
ὄντων	being
ἄνδρων,	men (of courage),
και	and
γενομένων	having-become
εὐτόλμων,	bold (and spirited), (so as to conquer in the approaching engagement),
ἐγὼ	I
μὲν	indeed
ποιήσω	will-make
τὸν	(the)
ὑμῶν	(those) of-you
βουλόμενον	desiring
ἀπιέναι	to-go
οἴκαδε	home
ἀπελθεῖν	| to-have-departed [to-return]
ζηλωτόν	envied
τοῖς	(by those)
οἴκοι·	at-home;
δὲ	but
οἶμαι	I-think
ποιήσειν	to-'make
πολλούς	many
ἐλέσθαι	'hereafter to-have-taken-for-yourselves [to prefer]
τὰ	the
παρ᾿	(things to be obtained)
ἐμοὶ	with me
ἀντὶ	before
τῶν	(those that may be obtained)
οἶκοι.	at-home.
Ἐνταῦθα	Then
Γαυλίτης	Gaulites
Σάμιος	(a) Samian
φυγάς,	exile,
δέ	but (a)
πιστος	faithful (adherent of)
Κύρῳ	Cyrus
παρών	being-present
εἶπε·	said;
καὶ	and
μὴν	yet,
ὦ	O
Κύρε	Cyrus,
τινες	some
λέγουσι,	say,
ὅτι	that
νῦν	now
ὑπισχνῇ	you-promise
πολλὰ	many (things)
διὰ	on-account-of
τὸ	| the
εἶνα	to-be [being]
ἐν	in
τοιούτῳ	such (a state)
τοῦ	of
προσιόντος	approaching
κινδύνου·	danger;
δὲ	but
ἂν	should
τι	any-thing
γένηται	happen
εἰν,	well, [but should success attend you],
φασί	they-say
οὐ	| (that) you
μεμνῆσθαι·	'would not 'have-remembered; [that you would not hereafter remember your promises]
δ'	some
ἔνιοι	(also say that)
οὐδ᾽	neither
εἰ	if
μεμνῷό	you-remember
τε	and
καὶ	also
βούλοιο	may-wish
δύνασθαι	will-you-be-able
ἂν	to-give
ἀποδοῦναι	what
ὅσα	you-promise.
ὑπισχνῇ.	Cyrus
Ὁ	hearing
Κῦρος	this
ἀκούσας	said;
ταῦτα	But
ἔλεξεν·	there-is
᾿Αλλ᾽	to-us,
ἐστι	O
ἡμῖν	men,
ὦ	| the
ἄνδρες	empire
ἡ	the
ἀρχὴ	paternal,
ἡ	[the empire,
πατρώα,	that belonged to my father],
μὲν	(which) indeed
μέχρι	(extends) so-far
πρὸς	to
μεσημβρίαν	(the) south
οὗ	where
ἄνθρωποι	men
οὐ	'are not
δύνανται	'able
οἰκεῖν	to-dwell
διὰ	by-reason-of
καῦμα,	heat,
δὲ	and
μέχρι	so-far
πρὸς	to
ἄρκτον	(the) north
οὐ	where
διὰ	(they cannot live) for
χειμῶνα·	cold;
δὲ	but
οἱ	the
φίλοι	friends
τοῦ	of
ἐμοῦ	my
ἀδελφοῦ	brother
σατραπεύουσι	govern-as-satraps
πάντα	all
τὰ	(the countries situated)
ἐν	in
μέσω	(the) middle
τούτων.	of-these (northern and southern limits).
Δὲ	But
ὴν	if
νικήσωμεν	we-conquer
δεῖ	it-becomes
ἡνᾶς	us
ποιῆσαι	to-make
τοὺς	our
ἡμετέρους	friends
φίλους	masters
ἐγκρατεῖς	of-those
τούτων.	(countries).
Ωστε	So-that
οὐ	I-'have not
δέδοικα	'feared
τοῦτο	this,
μὴ	lest
ἔχω	I-have
οὐκ	not
τι	any-thing
ὃ	which
δῶ	I-might-give
ἐκάστῳ	to-each
τῶν	'of (my)
φίλων,	friends,
ἂν	| should
γένηται	it-happen
εὖ,	well, [should we be successful],
ἀλλὰ,	but
μὴ	lest
ἔχω	I-have
οὐκ	not
ἱκανοὺς,	(friends) enough,
οἷς	to-whom
δῶ.	I-might-give.
Δε	But
καὶ	'I-will also
δώσω	'give
ἐκάστῳ	to-each
ὑμῶν	of-you
Ἑλλήνων	Greeks
χρυσοῦν	(a) golden
στέφανον.	crown.
Δὲ	But
οἱ	the (Greeks present)
ἀκούσαντες	hearing
ταῦτα,	these (things),
αὐτοί	they
ἦσαν	were
τε	not-only
πολύ	much
προθυμότεροι,	'more (encouraged and) 'prompt-for-action,
καὶ	but-also
ἐξήγγελλον	they-reported
τοῖς	(what they had heard) to-the
ἄλλοις.	others (of the Greeks).
Δὲ	And
τε	lot-only
οἱ	the
στρατηγοί	commanders
παρ᾿	about
αὐτῶν,	ip
καὶ	but-also
τινὲς	soma
τῶν	of-the
ἄλλων	other
Ἑλλήνων	Greeks
εἰσῄεσαν	entered (his tent)
ἀξιοῦντες	desiring
εἰδέναι	to-know
τι	what
ἔσται	(reward) shall-be
σφίσιν,	to-them,
ἐὰν	if
κρατήσωσι.	they-should-conquer.
Δὲ	But
ὁ	(he)
ἐμπιπλὰς	having-satisfied
τὴν	the
γνώμην	minds
ἀπάντων,	of-all,
ἀπέπεμπε˙	'sent (them) 'away.
Δὲ	And
πάντες	all
ὅσοιπερ	whoever
διελέγοντο	conversed (with him)
παρεκελεύοντο	exhorted
αὐτω,	him,
μὴ	not
μάχεσθαι,	to-fight (personally),
ἀλλ᾽	but
τάττεσθαι	to-place-himself
ὄπισθεν	behind
ἑαυτῶν.	(the line of battle) of-themselves.
Ἐν	At
δὲ	this
τῷ	time
τούτῳ	Clearchus
καιρῷ	inquired-of
Κλέαρχος	Cyrus
ἤρετο	some-how
τὸν	thus;
Κύρον	Do-you-think
πως	then
ὧδε·	(to-you),
Οἴει	O
γὰρ	Cyrus,
σοι	(that)
ὦ	(your
Κύρε	brother
τὸν	will-fight?
ἀδελφόν	Yes,
μαχεῖσθαι;	by-Jupiter,
Νή	said
Δί	Cyrus,
ἔφη	if
ὁ	indeed
Κῦρος	he-is
εἴπερ	(the)
γε	son
ἐστί	of-Darius
παῖς	and
Δαρείου	Parysatis,
καὶ	and
Παρυσάτιδος,	my
δὲ	brother,
ἐμὸς	I
ἀδελφός,	'shall not
ἐγὼ	'take
οὐ	(possession of
λήψομαι	these
ταῦτ᾽	(dominions)
ἁμαχεὶ.	without-a-fight.
Ἐνταῦθα	There
δή	indeed
ἐν	(of those)
τῇ	(in)
ἐξοπλισίᾳ	under-arms
ἀριθμὸς	(the, number
ἐγένετο	was
τῶν	of-the
μὲν	Greeks
Ἑλλήνων	ten-thousand
μυρία	and
και	four-hundred
τετρακοσία	heavy-armed-men,
ἀσπὶς,	and
δὲ	two-thousand
δισχίλιοι	and
καὶ	five-hundred
πέντακόσιοι	targetiers,
πελτασταί,	and
δὲ	(the number)
τῶν	of-the
βαρβάρων	barbarians
μετὰ	with
Κῦρου	Cyrus
δέκα	(was)
μυριάδες,	| ten ten-thousands, [one hundred thousand],
καὶ	and
ἀμφὶ	about
τὰ	twenty
εἴκοσι	scythe-bearing
δρεπανηφόρα	shariots.
ἅρματα.	And
Δὲ	(the number)
τῶν	of-the
πολεμίων	enemy
ἐλέγοντο	was-said
εἶναι	to-be
ἑκατὸι	| a-hundred
καὶ	and
εικοσι	twenty
μυριάδες,	ten-thousands, [1,200,000],
καὶ	and
διακόσια	two-hundred
δρεπανηφόρα	scythe-bearing
ἅρματα.	chariots.
Δὲ	And
ἦσαν	there-were
ἑξακισχίλιοι	six-thousand
ἄλλοι	other
ἱππεῖς,	horsemen,
ὧν	of-whom
᾿Αρταγέρσης	Artagerses
ἦρχεν·	had-the-command;
οὗτοι	these (horsemen)
ἦσαν	were
τεταγμένοι	drawn-up
πρὸ	before
βασιλέως	(the) king
αὐτοῦ.	himself.
Δὲ	But
τοῦ	'of (the)
στρατεύματος	'army
τοῦ	of-the
βασιλέως	king
ἦσαν	there-were
τέτταρες	four
ἄρχοντες	(being) commanders
καὶ	and
στρατηγοὶ	generals
καὶ	and
ἡγεμόνες,	leaders,
ἕκαστος	each
τριάκοντα	(having under his command)
μυριάδων	| thirty ten-thousands, [300,000],
᾿Αβροκόμας,	(their names were)
Τισσαφέρνης,	Abrocomas,
Γωβρίας,	Tissaphernes, Gobruas,
᾿Αρβάκης.	Arbaces.
Δὲ	But
τούτων	of-these
παρεγένοντο	there-were-present
ἐν	in
τῇ	the
μάχῃ	battle
ἐνενήκοντα	nine-hundred
μυριάδες,	ten-thousands, [900,000],
καὶ	and
ἑκατὸν	a-hundred
καὶ	and
πεντήκοντα	fifty
δρεπανηφόρα	scythe-bearing
ἅρματα·	chariots;
γὰρ	for
᾿Αβροκόμας	Abrocomas
ἐλαύνων	marching
ἐκ	from
Φοινίκης	Phoenicia
ὑστέρησε	arrived-after
τῆς	the
μάχης	battle
πέντε	five
ἡμέρας.	days.
Δὲ	And
οἱ	(those)
αὐτομολήσαντες	having-deserted
ἐκ	from
τῶν	- the
πολεμίων	enemy
παρά	(that were) with
μεγάλου	(the) great
βασιλέως	king
ἤγγελλον	announced
ταῦτα	these (things)
προς	to
Κύρον	Cyrus
προ	before
τῆς	the
μάχης·	battle;
καὶ,	and,
μετὰ	after
τὴν	the
μάχην,	battle,
οἱ	(those that)
ὕστερον	thereafter
ἐλήφθησαν	were-taken-prisoners
ἤγγελλον	reported
ταῦτὰ.	the-same (things).
Δὲ	And
ἐντεῦθεν	thence
Κῦρος	Cyrus
ἐξελαύνει	proceeds
ἕνα	one
σταθμον	days'-march,
τρεῖς	(making) three
παρασάγγας	parasangs,
παντί	with-all
τῷ	the
στρατεύματι,	army,
καὶ	both
τῷ	the
Ἑλληνικῷ	Greek
καὶ	and
τῷ	the
βαρβαρικῷ	barbarian,
συντεταγμένῳ·	drawn-up-in-order-of-battle;
γὰρ	for
ᾤετο	he-thought
βασιλέα	(that the) king
μαχεῖσθαι	would-offer-battle
ταύτῃ	(on)
τῇ	that
ἡμέρᾳ·	(same) day;
γὰρ	for
κατὰ	about
μέσον	(the) middle
τὸν	(of) the
σταθμὸν	days'-march
ἦν	there-was (found)
τάφρος	a-ditch
ὀρυκτή	dug
βαθεῖα,	deep,
τὸ	the
εὖρος	breadth
μὲν	indeed
πέντε	(was) five
ὀργυιαὶ,	fathoms,
δὲ	and
τὸ	the
βάθος	depth
τρεῖς	three
ὀργυιαὶ.	fathoms.
Δὲ	And
ἡ	the
τάφρος	ditch
παρετέτατο	was-extended
ἄνω	up
διὰ	through
τοῦ	the
πεδίου	plain
ἐπὶ	to
δώδεκα	twelve
παρασάγγας,	parasangs,
μέχρι	just-to
τείχους	(the) walls
τοῦ	of-Media.
Μηδίας.	Here
Ἔνθα	are
δή	the
εἰσιν	canals
αἱ	flowing
διώρυχες	from
ῥέουσαι	the
ἀπὸ	river
τοῦ	Tigris;
ποταμοῦ	and
Τίγρητος·	there-are
δὲ	four
εἰσὶ	(of them),
τέτταρες,	the
τὸ	breadth
μὲν	(of each is)
εἶρος	of-the-size-of-a-plethrum,
πλεθριαῖαι,	and
δὲ	very
ἰσχυρῶς	deep,
βαθεῖαι,	and
καὶ	corn-carrying
σιταγωγά	vessels
πλοῖα	sal
πλεῖ	on
ἐν	them;
αὐταῖς·	and
δὲ	they-discharge-their-water
εἰσβάλλουσι	into
εἰς	the
τὸν	Euphrates,
Εὐφράτην,	and
δὲ	they-leave
διαλείπουσι	(between)
ἐκάστη	each
παρασάγγην,	a-parasang,
γέφυραι	bridges
δ'	also
ἔπεισιν.	'are (thrown) 'over (them).
Ἦν	There-was
δὲ	-
στενή	(a) narrow
πάροδος	passage
παρὰ	along
τὸν	the
Εὐφράτην,	Euphrates,
μεταξὺ	between
τοῦ	the
ποταμοῦ	river
καὶ	and
τὴς	the
τάφρου	trench
ὡς	about
τὸ	the
εἶρος	breadth
εἴκοσι	of-twenty
ποδῶν.	feet.
Ταύτην	This
δε	trench
τὴν	(the)
τάφρον	great
μέγας	king
βασιλεύς	makes
ποιεῖ	for
ἀντι	(a
ἐρύματος,	defence,
ἐπειδὴ	after
πυνθάνεται	he-heard-of
Κῦρον	Cyrus
προσελαύνοντα.	marching-against (him).
Ταύτην	This
τὴν	-
πάροδον	passage
δὴ	indeed
τε	not-only
Κῦρός	Cyrus
καὶ	but-also
ἡ	the
στρατιὰ	army
παρῆλθε,	went-through,
καὶ	and
ἐγένοντο	(so) became
εἴσω	within
τῆς	the
τάφρου.	trench.
Βασιλεύς	(The) king
μὲν	indeed
οὐκ	'did not
οὖν	therefore
ἐμαχέσατο	'offer-battle
ταύτῃ	on-that
τῇ	day,
ἡμέρᾳ,	but
ἀλλὰ	many
πολλά	tracks
ἴχνη	both
καὶ	of-horses
ἵππων	and
καὶ	of-men
ἀνθρώπων	retreating
ὑποχωρούντων	were
ἦσαν	visible.
φανερά.	There
Ἐνταῦθα	Cyrus
Κῦρος	having-called
καλέσας	Silanus
Σιλανὸν	the
τὸν	Ambracian
᾿Αμβρακιώτην	soothsayer,
μάντιν,	gave
ἔδωκεν	him
αὐτῷ	three-thousand
τρισχιλίους	darica,
δαρεικούς,	because
ὅτι	previously
πρότερον	on-the
τῇ	eleventh
ἑνδεκάτῃ	(day)
ἀπ᾿	from
ἐκείνης	that
τῆς	day
ἡμέρας	(while)
θυόμενος,	sacrificing,
εἶπεν	he-said
αὐτῳ	to-him
ὅτι	that
βασιλεύς	(the) king
οὐ	'would not
μαχεῖται	'fight
δέκα	(for) ten
ἡμερῶν·	days;
Κῦρος	Cyrus
δ'	ther
εἶπεν,	said,
οὐκ	he-'will not
ἄρα	then
ἔτι	thereafter
μαχεῖται,	'fight,
εἰ	if
μὴ	he-'will not
μαχεῖται	fight
ἐν	in
ταύταις	these
ταῖς	days;
ἡμεραῖς·	but
δ᾽	if
ἐὰν	you-speak-the-truth,
ἀληθεύσῃς,	I-promise
ὑπισχνοῦμαί	you
σοι	ten
δέκα	talents.
τάλαντα.	This
Τοῦτο	gold
τὸ	'he then
χρυσιόν	'paid,
τότε	when
ἀπέδωκεν,	the
ἐπεὶ	ten
αἱ	day
δέκα	elapsed.
ἡμέραι	After
παρῆλθον.	indeed,
᾿Επεὶ	at
δ᾽	the
ἐπὶ	trench,
τῇ	(the)
τάφρω,	king
βασιλεὺς	'prevent
οὐκ	the
ἐκώλυε	army
τὸ	of-Cyrus
στράτευμα	to-go-through
Κύρου	(it)
διαβαίνειν,	ne-seemed
ἐδοξε	both
καὶ	to-Cyrus
Κύρῳ	and
καὶ	to-the
τοῖς	others
ἄλλοις	to-have-given-up
ἀπεγνωκέναι	the
τοῦ	(design)
μάχεθαι·	to-fight;
ὥστε	so-that
τῇ	on-the
ὑστεραίᾳ	following (day)
Κῦρος	Cyrus
ἐπορεύετο	proceeded
μᾶλλον	(on his march) more
ἠμελημένως.	negligently.
Δὲ	But
τῇ	on-the
τρίτη	third (day)
ἐποιεῖτο	he-made
τὴν	the
πορείαν	march
τε	not-only
καθήμενος	being-seated
ἐπὶ	in
τοῦ	- (his)
ἅρματος,	chariot,
καὶ	but-also
ἔχων	having
πρὸ	before
αὑτου	him
ὀλίγους	few (men, drawn up)
ἐν	in
τάξει·	order;
δὲ	but
τὸ	the
πολὺ	greater (part of
αὐτῷ	the army)
ἐπορεύετο	for-him proceeded-on
ἀνατεταραγμένον,	| having-been-put-in-disorder, [without observing any order],
καὶ	and
πολλὰ	many
τῶν	of-the
ὅπλων	arms
τοῖς	for-the
στρατιώταις	soldiers
ἤγοντο	were-carried
ἐπὶ	on
ἁμαξῶν	wagons
καὶ	and
ὑποξυγίων.	beasts-of-burden.
Καὶ	And
ἦν	it was
ἤδη	now
τε	not-only
ἀμφὶ	about
πλήθουσαν	full
ἀγορὰν,	market (time),
καὶ	vut-also
ὁ	the
σταθμός	station
ἦν	was
πλησίον	near
ἔνθα	where
ἔμελλε	he-was-about
καταλύειν	to-terminate (the day's march)
ἡνίκα	when
Παταγύας	Pataguas
Πέρσης	(a) Persian
ἀνὴρ,	man,
τῶν	of-the
πιστῶν	faithful (adherents)
ἀμφὶ	about
Κῦρον	Cyrus
προφαίνετα.	appears
ἐλαύνων	riding
ἀνὰ	at
κράτος	full-speed
τῷ	(with his)
ἵππῳ	horse
ἱδροῦντι·	sweating,
καὶ	and
εὐθὺς	immediately
ἐβόα	he-called-out
πᾶσίν,	to-all,
οἷς	whom
ἐνετύγχανε,	he-met,
καὶ	both
βαρβαρικῶς	| in-barbarian [in Persian]
καὶ	and
Ἑλληνικῶς,	in-Greek,
ὅτι	that (the
βασιλεύς	king
προσέρχεται	approaches
σὺν	wind
πολλῷ	(a) large
στρατεύματι,	army,
παρεσκευασμένος	prepared
ὡς	as
εἰς	for
μάχην.	battle.
Ἔνθα	Then
δὴ	indeed
ἐγένετο	there-was
πολὺς	great
τάραχος·	confusion;
γὰρ	for
οἱ	the
Ἕλληνες	Greeks
καὶ	and
δὲ	also
πάντες	all
ἐδόκουν	thought
αὐτίκα	(that) 'he (the king)
ἐπιπεσεῖσθαι	'would suddenly 'fall on
σφίσιν	them
ἀτάκτοις·	in-disorder;
Κυρός	Cyrus
τε,	not-only,
καταπηδήσας	having-leaped-down
ἀπὸ	from
τοῦ	the
ἅρματος,	chariot,
ἐνέδυ	put-on
τὸν	(his)
θώρακα,	breast-plate,
καὶ	but-also
ἀναβὰς	mounting
ἐπὶ	on
τὸν	(his)
ἵππον	horse
ἔλαβε	he-took
τὰ	(his)
παλτά	javelins
εἰς	in
τὰς	(his)
χεῖρας,	hands,
τε	(and) not-only
παρήγγελλε	did-he-order
πᾶσι	all
τοῖς	the
ἄλλοις	rest
ἐξοπλίζεσθαι,	to-arm-themselves,
καὶ	but-also
ἕκαστον	each-one
καθίστασθαι	| to-place-himself
εἰς	m
τὴν	the
τάξιν	rank
ἑαυτοῦ.	of-himself [to station himself in his own rank].
Ἔνθα	There
δή	indeed
καθίσταντο	(in their proper stations) they-placed-themselves
σὺν	with
πολλῇ	great
